pano,pmes,conglome,vivienda,hogar,codperso,dominio,estrato,p101p,p103,p104,p105,p106,p107,p108,p110,p200n,p200i,p200a,p200b,p200c,p200d,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p205,p206,p207a,p207b,p208a,p208b1,p208b2,p208b3,p209,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209h,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p221a,p221b1,p221b2,p221b3,p222,ocu200,i211a,i212a,d211b,factor,toting,p200bb,p200dd,ingprinc,lintot01,linsub01,ingtrab,subemp01
2002,2,546,73,12,5,8,1,51207,3,1,2, ,2,14,5,5,5,10,2,16,2,27,1,1988,1, , , , , , , , , , , , , ,5,5,1,3,1, , , ,0,2,0,0,0,0,0,0,2,2, , , , , , , , ,2,4,2, , , , ,2, , , , ,5,4, , , ,487.196217393223, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,546,73,22,1,8,1,52201,1,1,2, ,1,73,1,1,1,10,2,16,2,2,4,1928,2,2,2,0,2,2,2,2,2,2,2,2,1,2,1,5,1,2,1, , , ,0,1,1,1,1,1,1,1,7,2, , , , , , , , ,2,7,1,2, , , ,1,1, , , ,5,4, , , ,396.307978990733, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,546,73,22,2,8,1,52202,2,1,2, ,2,67,2,2,2,10,2,16,2,10,8,1934,2,2,2,0,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1, , , ,0,3,3,3,3,3,3,3,21,2, , , ,20,87,0,0,1, , , , , , , , , , , , ,5,1, ,20, ,400.133333607351,107, , ,107,261.4118611,587.210880106404,107,2
2002,2,546,75,12,1,8,1,51101,1,1,2, ,1,31,1,1,1,10,2,16,2,29,4,1970,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,3,1,0,9,2,2002,5,2, , , ,517.078013887206, , , ,999999,261.4118611,587.210880106404,0,4
2002,2,546,75,12,2,8,1,51102,2,1,2, ,2,31,2,2,2,10,2,16,2,15,4,1970,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,1, , , ,5,4, , , ,489.781769952447, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,546,75,12,3,8,1,51103,3,1,2, ,1,8,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,449.877180704175, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,546,75,12,4,8,1,51104,3,1,2, ,1,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,449.877180704175, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,546,75,12,5,8,1,51105,3,1,2, ,2,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,490.200376391091, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,546,75,12,6,8,1,21206,9,2, ,2,2,20,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,487.196217393223, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,546,75,22,1,8,1,51106,1,1,2, ,2,60,1,1,1,10,2,16,2,10,5,1941,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1, , , ,5,4, , , ,400.133333607351, , , ,999999,261.4118611,587.210880106404,0, 
